,Thurrock,
Date,Ozone,Status
01/01/2025,71.65395,"P µg/m³"
02/01/2025,31.81478,"P µg/m³"
03/01/2025,11.55843,"P µg/m³"
04/01/2025,22.16059,"P µg/m³"
05/01/2025,56.92734,"P µg/m³"
06/01/2025,49.24390,"P µg/m³"
07/01/2025,33.61923,"P µg/m³"
08/01/2025,20.01521,"P µg/m³"
09/01/2025,20.52100,"P µg/m³"
10/01/2025,2.39484,"P µg/m³"
11/01/2025,1.87097,"P µg/m³"
12/01/2025,5.40502,"P µg/m³"
13/01/2025,35.71435,"P µg/m³"
14/01/2025,21.80756,"P µg/m³"
15/01/2025,11.22581,"P µg/m³"
16/01/2025,34.21200,"P µg/m³"
